date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:25:56	126108/126108	---M--	200	added ('OK')	image/png	etag:%22cc91ff54d3b7e4330aa2186f253a7916%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1a4f5142aa8_Ellipse%20657.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1a4f5142aa8_Ellipse%20657.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:56	102441/102441	---M--	200	added ('OK')	image/png	etag:%2272d1c7eed6fe595c229c0d59a416d993%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1efff142a9d_Ellipse%20649.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1efff142a9d_Ellipse%20649.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:57	84579/84579	---M--	200	added ('OK')	image/png	etag:%22ee5dca6f6973aa8898a978dfc4c73db2%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1b089142a9f_Ellipse%20650.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1b089142a9f_Ellipse%20650.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:57	108022/108022	---M--	200	added ('OK')	image/png	etag:%2264d7ea784eafce3973b893ae6b79d63d%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14cdd142aa5_Ellipse%20651.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14cdd142aa5_Ellipse%20651.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:58	89282/89282	---M--	200	added ('OK')	image/png	etag:%22e79f3c5e6a2f085ff775e76015c99403%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d15e5a142aa2_Ellipse%20652.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d15e5a142aa2_Ellipse%20652.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:59	89240/89240	---M--	200	added ('OK')	image/png	etag:%22b1373f80d90a01289992170fab256ba8%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d12ea5142a9e_Ellipse%20653.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d12ea5142a9e_Ellipse%20653.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:59	94314/94314	---M--	200	added ('OK')	image/png	etag:%22dcd4f1995c6ebafc5dce75406be04923%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d16eb8142a9a_Ellipse%20654.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d16eb8142a9a_Ellipse%20654.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:00	120645/120645	---M--	200	added ('OK')	image/png	etag:%22127fe13bfb191500abbebc02bc7bb9e0%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1c394142aa6_Ellipse%20655.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d1c394142aa6_Ellipse%20655.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:01	93398/93398	---M--	200	added ('OK')	image/png	etag:%22bb914ff89b2bf1e85ab02aed7543cf82%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14495142aa9_Ellipse%20656.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14495142aa9_Ellipse%20656.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:01	4924/4924	---M--	200	added ('OK')	image/png	etag:%227a9b2eb029c2a35a4a01577c616c3e4f%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b10cd47b29d7fbee1eaec_Screenshot_2023-04-16_022929-removebg-preview.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b10cd47b29d7fbee1eaec_Screenshot_2023-04-16_022929-removebg-preview.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:02	2282/2282	---M--	200	added ('OK')	image/png	etag:%22396003f859999cfd9b976e687969f9a8%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d10c7e142aa1_logo.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d10c7e142aa1_logo.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:02	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=643af6c505f1d176c5142a6d	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8bed5.js	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:03	514883/514883	---M-Z	200	added ('OK')	text/javascript	etag:%2227842443d52661f4cb15ee91e9bdb197%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/js/webflow.103e33dd8.js	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/js/webflow.103e33dd8.js	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:03	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:26:04	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
06:26:05	719748/719748	---M--	200	added ('OK')	image/png	etag:%22211519492908aebbc63a1ef38cfc3167%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14fc6142a95_Rectangle%2024833.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d14fc6142a95_Rectangle%2024833.png	(from https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/css/abhimanyu-kumars-stupendous-site.webflow.b9a7c4f25.css)
06:26:06	2529920/2529920	---M--	200	added ('OK')	image/jpeg	etag:%22398f64c6da840166afe67f21f050f849%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d17c2e142aae_pexels-elia-clerici-912110.jpg	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d17c2e142aae_pexels-elia-clerici-912110.jpg	(from https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/css/abhimanyu-kumars-stupendous-site.webflow.b9a7c4f25.css)
